subject,session,precue,intercept,slope,amplitude,phase
1,1,1,0.52952921727001,0.0618936613809637,0.0219820011902812,-2.49994997372823
1,2,1,0.52952921727001,0.0618936613809637,0.0219820011902812,-2.49994997372823
1,1,2,0.486047320417129,0.101443303050473,0.0178818816784769,1.00952726206742
1,2,2,0.486047320417129,0.101443303050473,0.0178818816784769,1.00952726206742
2,1,1,0.402029295102693,0.120011273073032,0.00860477122478187,-1.39068109623622
2,2,1,0.402029295102693,0.120011273073032,0.00860477122478187,-1.39068109623622
2,1,2,0.396342944353819,0.130338858813047,0.0137589983642101,2.06431016325951
2,2,2,0.396342944353819,0.130338858813047,0.0137589983642101,2.06431016325951
3,1,1,0.186174152760941,0.115519112019683,0.0109645020202151,-1.08829139753652
3,2,1,0.186174152760941,0.115519112019683,0.0109645020202151,-1.08829139753652
3,1,2,0.282905014163589,0,0.0624257176441461,2.36948572792926
3,2,2,0.282905014163589,0,0.0624257176441461,2.36948572792926
4,1,1,0.244056469716952,0.0255488900476166,0.0190011811624515,2.45539801429416
4,2,1,0.244056469716952,0.0255488900476166,0.0190011811624515,2.45539801429416
4,1,2,0.269567138515413,0.0617118701338768,0.0234208628535271,1.09899221686646
4,2,2,0.269567138515413,0.0617118701338768,0.0234208628535271,1.09899221686646
5,1,1,0.281454854062758,0.145273910136893,0.0356235568178818,0.940566574572586
5,2,1,0.281454854062758,0.145273910136893,0.0356235568178818,0.940566574572586
5,1,2,0.301995629444718,0.105357561260462,0.024934833869338,-0.017430242151022
5,2,2,0.301995629444718,0.105357561260462,0.024934833869338,-0.017430242151022
6,1,1,0.206550387665629,0.043762169778347,0.0121253300458193,1.84499832801521
6,2,1,0.206550387665629,0.043762169778347,0.0121253300458193,1.84499832801521
6,1,2,0.207259513816098,0,0.0159132975095417,-2.49996539569111
6,2,2,0.207259513816098,0,0.0159132975095417,-2.49996539569111
7,1,1,0.36278345741448,0,0.0186191872635391,-2.49999968422344
7,2,1,0.36278345741448,0,0.0186191872635391,-2.49999968422344
7,1,2,0.347850749734789,0,0.0148810707032681,-0.946658335160464
7,2,2,0.347850749734789,0,0.0148810707032681,-0.946658335160464
8,1,1,0.370777261909097,0,0.00208400143310428,2.49842769640964
8,2,1,0.370777261909097,0,0.00208400143310428,2.49842769640964
8,1,2,0.343882893299451,0.0589088089182042,0.0182984068233054,1.38537398335757
8,2,2,0.343882893299451,0.0589088089182042,0.0182984068233054,1.38537398335757
9,1,1,0.1368142637657,0,0.0248492285027169,2.05638401646866
9,2,1,0.1368142637657,0,0.0248492285027169,2.05638401646866
9,1,2,0.135789430816658,0.0200678820256144,0.0120727948378772,1.10782027826644
9,2,2,0.135789430816658,0.0200678820256144,0.0120727948378772,1.10782027826644
10,1,1,0.138262970838696,0,0.0182177661918104,-1.38347686035559
10,2,1,0.138262970838696,0,0.0182177661918104,-1.38347686035559
10,1,2,0.147999538240583,0,0.0444064192279257,2.27427033124059
10,2,2,0.147999538240583,0,0.0444064192279257,2.27427033124059
