subject,session,precue,intercept,slope,amplitude,phase,phaserad,freq,baseline_data,baseline_yhat
1,1,1,0.530285382473043,6.07278324447242e-05,0.0221130909577645,65.3256743382764,0.410453317183857,2,0.552631998838894,0.529052801039902
1,2,1,0.402236160755134,0.000120022421085396,0.00846426358583349,104.898869830931,0.659099037661452,2,0.42608649637154,0.388987928929094
1,1,2,0.486264574708697,0.000101213250127052,0.0178735534328639,228.021303471772,1.43270010369778,2,0.53564608547516,0.487334418008827
1,2,2,0.396323880686193,0.000130727143917091,0.0139103283422961,-45.0349609430736,-0.282963004906927,2,0.408317356583341,0.402526559357319
2,1,1,0.186473858233915,0.000115268088244441,0.0108437719016904,-490.35716871059,-3.08100495771256,2,0.229797264285525,0.170570898001214
2,2,1,0.244129402502018,2.5284289110253e-05,0.0189011191675093,-176.881296562054,-1.11137796367357,2,0.250040705709629,0.259890290613672
2,1,2,0.282448670102565,6.96750358624781e-07,0.0621924419684728,-165.908624927383,-1.0424346344781,2,0.265794998809173,0.33966288479901
2,2,2,0.269611893030523,6.17784947122779e-05,0.0234473950897293,34.8355336531447,0.218878113217199,2,0.263414450438951,0.276404628238973
3,1,1,0.281776460467437,0.000144983858449752,0.0356563105874877,15.9467447649966,0.10019635240477,2,0.334377801718876,0.28467854492351
3,2,1,0.206859120527431,4.31249806230574e-05,0.0120547115653765,237.656288102908,1.49323849756703,2,0.211208651893734,0.215248366999518
3,1,2,0.302366539831463,0.000104872628462876,0.0248704811865791,449.247076537613,2.82270263059451,2,0.315222182968151,0.283075858939664
3,2,2,0.207293629010728,2.28585480188328e-09,0.0160988982388077,74.7353338072119,0.469575951304636,2,0.156113591023719,0.209553726525832
4,1,1,0.362954792633366,7.45020350966017e-10,0.0211879250060468,439.073451483884,2.75877985913617,2,0.274017821503577,0.372398962928312
4,2,1,0.370739934500659,4.57588005073702e-08,0.0021769493335764,267.711654465829,1.68208193390043,2,0.352561225360945,0.372528756513599
4,1,2,0.347812368416855,3.10409678464228e-09,0.0149414500666045,166.270290198138,1.04470704439343,2,0.299969608756765,0.333853836792838
4,2,2,0.3439607450791,5.88877911571161e-05,0.0183193596004667,-73.4777651614196,-0.461674414466624,2,0.36890209105802,0.35272017744524
5,1,1,0.136761243024233,5.50412292834649e-08,0.0248068375977499,-247.668527678718,-1.55614725416172,2,0.111834961331794,0.159698654571651
5,2,1,0.138336431698638,1.83157254491537e-08,0.0180554041100557,65.6313427134616,0.41237388822769,2,0.185483892629847,0.123063564890066
5,1,2,0.135891571723184,1.99857883202584e-05,0.0121346822172334,449.529005079366,2.82447403986573,2,0.139171633814852,0.140148826474768
5,2,2,0.147998182592571,5.42718843240912e-10,0.044407220319371,338.292992443042,2.12555755963994,2,0.145778769499613,0.189366464774017
6,1,1,0.198083794360906,9.27630068449848e-05,0.0153027228686806,207.757425551071,1.30537840367994,2,0.21052848967539,0.205446834551564
6,2,1,0.182326612649166,4.07028796790023e-05,0.0231388544042839,166.062116709074,1.0433990517856,2,0.169213672088808,0.165810454184492
6,1,2,0.158951647492548,8.45165007758438e-05,0.0270837981460533,-125.735163122338,-0.790017329526101,2,0.19694592391095,0.134408264300849
6,2,2,0.203135453164186,3.83976102050856e-05,0.0103119598170515,-337.584453449692,-2.12110567784736,2,0.189858526621216,0.200274306481656
7,1,1,0.488608174607032,0.00013098474894837,0.00288815858413817,429.129469216817,2.69629997586088,2,0.549625788358222,0.483378077988467
7,2,1,0.496381775746168,0.000154335427466391,0.0104203039473277,-257.095959932349,-1.61538155798217,2,0.537062502950064,0.498131662359152
7,1,2,0.501657880398238,9.43553105391979e-05,0.0435505235440353,96.6220548154413,0.607094275165881,2,0.49605600669626,0.518751941808364
7,2,2,0.56753087497956,5.24344624945187e-05,0.0215079768845935,439.748752822454,2.76302290258459,2,0.581775434257964,0.548656811295093
8,1,1,0.188207992270338,0.00012145017340208,0.0194468761997565,-379.265759958855,-2.38299705048978,2,0.194097949208102,0.187637055505871
8,2,1,0.20293804609747,3.78240083349804e-09,0.043936896275471,85.6925739974421,0.538422321875128,2,0.209390497857139,0.215232179918714
8,1,2,0.221954011605511,2.80692781014249e-05,0.0326747447959632,-408.543377752215,-2.56695374843823,2,0.248332457535723,0.192226628053029
8,2,2,0.212604052269183,3.36932755277838e-09,0.0101212241335575,478.238180946398,3.0048591118547,2,0.200157868326055,0.220115720004606
9,1,1,0.262658889526268,9.58763409080623e-05,0.0234754681559559,-105.960946581578,-0.665772262696211,2,0.295504254779016,0.265693025498815
9,2,1,0.297432796657242,2.46832208353531e-05,0.0216025026179692,294.575564615796,1.8508728594481,2,0.269133042844513,0.304694634411331
9,1,2,0.297543846318927,5.97220635427872e-05,0.0411617966631786,96.063231046483,0.60358308187146,2,0.322170712051488,0.307239932690863
9,2,2,0.329061525522633,4.6850484744574e-08,0.00946478192575591,348.792880134061,2.19153029970718,2,0.293825219266245,0.326139537792771
10,1,1,0.317988567278917,1.22024906909293e-08,0.0306340989763245,-116.892138740832,-0.734454968661193,2,0.368559080337553,0.32119041584372
10,2,1,0.348517408544425,1.69629457097515e-05,0.0209622796757565,-15.0791198119686,-0.0947449040477619,2,0.30341232054938,0.366339616980449
10,1,2,0.338283081185655,1.25098714831449e-08,0.016872221875726,-166.619913754887,-1.04690379398824,2,0.328930131355346,0.324214175488314
10,2,2,0.34908428021903,1.46850176092893e-05,0.00881108199456369,-106.336862699282,-0.668134213323702,2,0.363384055501331,0.356193044952104
