subject,session,precue,intercept,slope,baseline_data,baseline_yhat
1,1,1,0.520195638823495,8.20390270407317e-05,0.552631998838894,0.516011648444417
1,2,1,0.402459935193876,0.000120079311228067,0.42608649637154,0.396335890321245
1,1,2,0.491847834431662,8.88740243142476e-05,0.53564608547516,0.487315259191635
1,2,2,0.393908515392455,0.000134900898360958,0.408317356583341,0.387028569576046
2,1,1,0.188312528317347,0.000112113655292578,0.229797264285525,0.182594731897426
2,2,1,0.236911054761683,3.93432478645799e-05,0.250040705709629,0.234904549120589
2,1,2,0.265468858213724,3.26525741357028e-05,0.265794998809173,0.263803576932803
2,2,2,0.276188762023086,4.70529939509993e-05,0.263414450438951,0.273789059331585
3,1,1,0.293910327583476,0.000118420267094404,0.334377801718876,0.287870893961662
3,2,1,0.205946426881729,4.42743741488409e-05,0.211208651893734,0.203688433800138
3,1,2,0.314599520402853,7.99076395830486e-05,0.315222182968151,0.310524230784117
3,2,2,0.207429117828703,3.87067807044867e-09,0.156113591023719,0.207428920424121
4,1,1,0.362914772711228,8.67607363284123e-09,0.274017821503577,0.362914330231473
4,2,1,0.370718581584247,1.0243359504389e-08,0.352561225360945,0.370718059172912
4,1,2,0.34820965207847,1.45545814739966e-08,0.299969608756765,0.348208909794815
4,2,2,0.346774318077262,5.20277058063647e-05,0.36890209105802,0.344120905081138
5,1,1,0.136071523817066,2.32480776041164e-08,0.111834961331794,0.136070338165108
5,2,1,0.13887225194601,1.92447085491383e-08,0.185483892629847,0.138871270465874
5,1,2,0.139223216299536,1.25078771982769e-05,0.139171633814852,0.138585314562423
5,2,2,0.146847824070992,6.22597351085172e-09,0.145778769499613,0.146847506546343
6,1,1,0.198728785513083,9.04728428551384e-05,0.21052848967539,0.194114670527471
6,2,1,0.178493558870334,4.99309597882013e-05,0.169213672088808,0.175947079921136
6,1,2,0.171217722710961,5.99507738230718e-05,0.19694592391095,0.168160233245984
6,2,2,0.207834662392389,2.84739216586616e-05,0.189858526621216,0.206382492387797
7,1,1,0.489296441010878,0.00012941273136959,0.549625788358222,0.482696391711029
7,2,1,0.494648845573848,0.000157302451888032,0.537062502950064,0.486626420527558
7,1,2,0.480044116194332,0.000138668741442917,0.49605600669626,0.472972010380743
7,2,2,0.577225308828934,3.30349503289817e-05,0.581775434257964,0.575540526362156
8,1,1,0.178690251824752,0.000141266356308679,0.194097949208102,0.171485667653009
8,2,1,0.198375259528081,9.79617322604877e-06,0.209390497857139,0.197875654693552
8,1,2,0.23456126550875,3.38133391081094e-06,0.248332457535723,0.234388817479299
8,2,2,0.212452503049125,3.09664131603746e-08,0.200157868326055,0.212450923762053
9,1,1,0.251066344271293,0.000119928877279927,0.295504254779016,0.244949971530017
9,2,1,0.286707570846509,4.68480292468406e-05,0.269133042844513,0.28431832135492
9,1,2,0.309886581628189,3.24756465318923e-05,0.322170712051488,0.308230323655063
9,2,2,0.329051911720235,6.70888207768797e-09,0.293825219266245,0.329051569567249
10,1,1,0.317447427698471,1.73537578741451e-06,0.368559080337553,0.317358923533313
10,2,1,0.341000092122491,3.15476636531269e-05,0.30341232054938,0.339391161276182
10,1,2,0.338320943362904,5.74789615087331e-07,0.328930131355346,0.338291629092534
10,2,2,0.348218341955012,1.59386230092987e-05,0.363384055501331,0.347405472181538
